iter	MultiClass
0	1.041318854
1	0.9888605042
2	0.9187081542
3	0.871328338
4	0.8237089548
5	0.7841047059
6	0.7405977999
7	0.7119287042
8	0.6703018694
9	0.6359757303
10	0.6039924751
11	0.5740129432
12	0.5439295341
13	0.5176359676
14	0.4988501622
15	0.4782249573
16	0.461923007
17	0.4476301509
18	0.429106176
19	0.4162839059
20	0.4022609775
21	0.3894764364
22	0.3775320678
23	0.3654862405
24	0.3527024168
25	0.3397710569
26	0.330387286
27	0.3174468191
28	0.3070785549
29	0.2989314991
30	0.2900763898
31	0.2813206518
32	0.2731888685
33	0.2674018431
34	0.2597842744
35	0.2516532989
36	0.2443938464
37	0.2389005672
38	0.232078536
39	0.2260979048
40	0.2212257643
41	0.2165557871
42	0.209975344
43	0.205686499
44	0.2016558248
45	0.19750168
46	0.1917609619
47	0.1876632521
48	0.1850522048
49	0.1805248045
50	0.176641446
51	0.1730447792
52	0.1687809967
53	0.1647711745
54	0.1621280767
55	0.1596741518
56	0.1566374487
57	0.1533920141
58	0.1508483327
59	0.1481119026
60	0.1456227386
61	0.1430511729
62	0.1406686799
63	0.1380364894
64	0.1354194615
65	0.1331472974
66	0.1307042234
67	0.1284972771
68	0.1263604116
69	0.124118239
70	0.1220201498
71	0.1201484471
72	0.1179830934
73	0.1163180989
74	0.1146753692
75	0.1122717209
76	0.1110554072
77	0.109432132
78	0.1081539522
79	0.1068371809
80	0.1053233207
81	0.1038500196
82	0.1023360096
83	0.1011436714
84	0.09906073494
85	0.09751254821
86	0.09605603758
87	0.09456328667
88	0.09280868151
89	0.09167288845
90	0.0900557921
91	0.08888458098
92	0.08788317902
93	0.08683896731
94	0.08550809564
95	0.08420142393
96	0.08288106086
97	0.08166904956
98	0.08094876312
99	0.07980628583
100	0.07907597869
101	0.07813262532
102	0.07730953925
103	0.07633340323
104	0.07533648913
105	0.07454128013
106	0.07384494409
107	0.07292812538
108	0.07213321359
109	0.07094972152
110	0.07004984409
111	0.06917733906
112	0.0682545326
113	0.0674030189
114	0.06674623418
115	0.06603359382
116	0.06520396051
117	0.06449105213
118	0.06395813319
119	0.06325360557
120	0.062390925
121	0.06165282613
122	0.06086990291
123	0.06017323222
124	0.05964216603
125	0.05917143587
126	0.05851070795
127	0.05791198065
128	0.0572491266
129	0.05671312231
130	0.05607410198
131	0.05566269614
132	0.05496378676
133	0.0544127114
134	0.05401745819
135	0.0535474448
136	0.05306895271
137	0.05253477951
138	0.05205757364
139	0.05160737422
140	0.05109475583
141	0.05061101421
142	0.05022288011
143	0.04961543827
144	0.04924146764
145	0.04878878331
146	0.04835733374
147	0.04785910631
148	0.04745684833
149	0.04699115527
150	0.04654901325
151	0.04610124851
152	0.0456018914
153	0.04532081554
154	0.04497523096
155	0.04467559055
156	0.04435934448
157	0.04403897148
158	0.04361809001
159	0.04334832008
160	0.04298565567
161	0.04258936765
162	0.04230292759
163	0.04201467465
164	0.0416864729
165	0.04135650666
166	0.04114232015
167	0.04080335911
168	0.04057895914
169	0.04028429324
170	0.03990232746
171	0.03956060494
172	0.0392463185
173	0.03893122891
174	0.03872652692
175	0.03847438946
176	0.03818035226
177	0.03788054124
178	0.03763227832
179	0.03732134197
180	0.037085702
181	0.03676043907
182	0.03645716383
183	0.0361681617
184	0.03597362868
185	0.03581747713
186	0.03558952998
187	0.03537067852
188	0.03508723679
189	0.03478175202
190	0.0345105548
191	0.03427604048
192	0.03398555526
193	0.0337606654
194	0.03351265647
195	0.03333396799
196	0.03305547722
197	0.03287061518
198	0.03269168086
199	0.03248366215
200	0.03229710251
201	0.03205155619
202	0.031869737
203	0.03170384808
204	0.03150629876
205	0.03133085606
206	0.03107238801
207	0.03088226171
208	0.03066598779
209	0.03047407986
210	0.03030897148
211	0.03015913447
212	0.0300064361
213	0.02984561109
214	0.02968663735
215	0.02946489354
216	0.02933021388
217	0.02919237398
218	0.02903572536
219	0.02889314587
220	0.02874400107
221	0.02861043289
222	0.02850003136
223	0.02835506458
224	0.02821867926
225	0.02806456309
226	0.02788387315
227	0.02771127652
228	0.02751603842
229	0.02735551765
230	0.02724908788
231	0.0270416994
232	0.02689414303
233	0.02676564276
234	0.02666426382
235	0.0265380901
236	0.02635587535
237	0.02621902723
238	0.02610277152
239	0.02600225304
240	0.02588671664
241	0.02576315702
242	0.02562085412
243	0.0254563608
244	0.02535227237
245	0.02523350568
246	0.02513634555
247	0.02505500647
248	0.02492778437
249	0.02482227978
250	0.02471640721
251	0.02462559664
252	0.02452256324
253	0.02438506906
254	0.02427677685
255	0.02421678237
256	0.02409969119
257	0.02398914442
258	0.02390458224
259	0.02382081642
260	0.02372270774
261	0.02360138445
262	0.02350114127
263	0.02337720297
264	0.0233017698
265	0.02319206396
266	0.02308283805
267	0.02298304271
268	0.02286436454
269	0.02276018809
270	0.02268303798
271	0.02259750679
272	0.02248265763
273	0.02240087801
274	0.02231203964
275	0.02223419103
276	0.02211419276
277	0.02200628116
278	0.02191107389
279	0.02182968134
280	0.02175340127
281	0.02165848775
282	0.02156383692
283	0.02145450691
284	0.02134623957
285	0.02125637028
286	0.02117495622
287	0.02107295748
288	0.02094578217
289	0.02088384705
290	0.02080303889
291	0.02071378138
292	0.02063728599
293	0.02057212364
294	0.02048706095
295	0.02042315415
296	0.02034627905
297	0.0202640939
298	0.02017321591
299	0.02011083125
300	0.02001603675
301	0.01995769457
302	0.01988350516
303	0.01981366941
304	0.01975447127
305	0.01969672651
306	0.01961218508
307	0.01954791357
308	0.01947917869
309	0.01939829559
310	0.01933345906
311	0.01926397785
312	0.01918209868
313	0.01912286778
314	0.01905390091
315	0.01897985742
316	0.01890595882
317	0.01884099002
318	0.01877267664
319	0.01869178049
320	0.01861160872
321	0.01856280316
322	0.01846347474
323	0.01841272149
324	0.01835709003
325	0.01829560026
326	0.0182506899
327	0.01819380841
328	0.018144291
329	0.01806853691
330	0.01798771645
331	0.01793319366
332	0.01788704988
333	0.01782688597
334	0.01776037352
335	0.01766907114
336	0.01758702975
337	0.01754433182
338	0.01747699922
339	0.01742768688
340	0.01736267738
341	0.01729725729
342	0.01723815063
343	0.01719021046
344	0.01712493773
345	0.01707236976
346	0.01702668231
347	0.01696850107
348	0.0169282925
349	0.01688488364
350	0.01682098666
351	0.01677115353
352	0.01669330237
353	0.01663426677
354	0.01659759637
355	0.01656109834
356	0.01650325906
357	0.01645281023
358	0.01641494686
359	0.01638254958
360	0.0163093884
361	0.01624165423
362	0.01618514648
363	0.01614235145
364	0.01608952889
365	0.01604067834
366	0.0160017334
367	0.01595581412
368	0.01590240456
369	0.01585301206
370	0.0158108808
371	0.01576300518
372	0.0157214207
373	0.01567589424
374	0.01562413815
